Posi��o no dep�sito;Tipo de dep�sito;Corr.pos.dep.;Col.posi��o dep�sito;N�vel da posi��o;Subdiv.pos.dep.;Bloq.entr.dep�sito;Bloq.sa�da depos.;Estrutura;Tipo;Qtd. Caixas BIN ABASTECIMENTO;Desc_Tp;Desc_tipo_knapp
M70315020402;M700;M703;15;04;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70315020401;M700;M703;15;04;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70315020305;M700;M703;15;03;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70315020304;M700;M703;15;03;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70315020303;M700;M703;15;03;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70315020302;M700;M703;15;03;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70315020301;M700;M703;15;03;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70315020205;M700;M703;15;02;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70315020204;M700;M703;15;02;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70315020203;M700;M703;15;02;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70315020202;M700;M703;15;02;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70315020201;M700;M703;15;02;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70315020105;M700;M703;15;01;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70315020104;M700;M703;15;01;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70315020103;M700;M703;15;01;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70315020102;M700;M703;15;01;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70315020101;M700;M703;15;01;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70314020605;M700;M703;14;06;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70314020604;M700;M703;14;06;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70314020603;M700;M703;14;06;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70314020602;M700;M703;14;06;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70314020601;M700;M703;14;06;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70314020505;M700;M703;14;05;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70314020504;M700;M703;14;05;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70314020503;M700;M703;14;05;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70314020502;M700;M703;14;05;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70314020501;M700;M703;14;05;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70314020405;M700;M703;14;04;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70314020404;M700;M703;14;04;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70314020403;M700;M703;14;04;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70314020402;M700;M703;14;04;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70314020401;M700;M703;14;04;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70314020305;M700;M703;14;03;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70314020304;M700;M703;14;03;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70314020303;M700;M703;14;03;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70314020302;M700;M703;14;03;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70314020301;M700;M703;14;03;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70314020205;M700;M703;14;02;05;X;X;Controlados;Estanteria;2;Estanteria;B2ES
M70314020204;M700;M703;14;02;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70314020203;M700;M703;14;02;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70314020202;M700;M703;14;02;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70314020201;M700;M703;14;02;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70314020105;M700;M703;14;01;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70314020104;M700;M703;14;01;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70314020103;M700;M703;14;01;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70314020102;M700;M703;14;01;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70314020101;M700;M703;14;01;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70313020605;M700;M703;13;06;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70313020604;M700;M703;13;06;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70313020603;M700;M703;13;06;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70313020602;M700;M703;13;06;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70313020601;M700;M703;13;06;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70313020505;M700;M703;13;05;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70313020504;M700;M703;13;05;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70313020503;M700;M703;13;05;03;;;Controlados;Estanteria;2;Estanteria;B2ES
